ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2019;201901;2019-01;2019-01-28;4,0;4,31;2020-01-10;-0,3099999999999996;33;4,25;2,75;5,75;-0,25;0,25
2019;201902;2019-02;2019-02-25;3,84;4,31;2020-01-10;-0,46999999999999975;36;4,25;2,75;5,75;-0,41000000000000014;0,41000000000000014
2019;201903;2019-03;2019-03-25;3,9;4,31;2020-01-10;-0,4099999999999997;35;4,25;2,75;5,75;-0,3500000000000001;0,3500000000000001
2019;201904;2019-04;2019-04-29;4,04;4,31;2020-01-10;-0,2699999999999996;37;4,25;2,75;5,75;-0,20999999999999996;0,20999999999999996
2019;201905;2019-05;2019-05-27;4,05;4,31;2020-01-10;-0,2599999999999998;58;4,25;2,75;5,75;-0,20000000000000018;0,20000000000000018
2019;201906;2019-06;2019-06-24;3,79;4,31;2020-01-10;-0,5199999999999996;47;4,25;2,75;5,75;-0,45999999999999996;0,45999999999999996
2019;201907;2019-07;2019-07-29;3,8;4,31;2020-01-10;-0,5099999999999998;81;4,25;2,75;5,75;-0,4500000000000002;0,4500000000000002
2019;201908;2019-08;2019-08-26;3,55;4,31;2020-01-10;-0,7599999999999998;91;4,25;2,75;5,75;-0,7000000000000002;0,7000000000000002
2019;201909;2019-09;2019-09-30;3,42;4,31;2020-01-10;-0,8899999999999997;53;4,25;2,75;5,75;-0,8300000000000001;0,8300000000000001
2019;201910;2019-10;2019-10-28;3,3;4,31;2020-01-10;-1,0099999999999998;97;4,25;2,75;5,75;-0,9500000000000002;0,9500000000000002
2019;201911;2019-11;2019-11-25;3,51;4,31;2020-01-10;-0,7999999999999998;104;4,25;2,75;5,75;-0,7400000000000002;0,7400000000000002
2019;201912;2019-12;2019-12-30;4,18;4,31;2020-01-10;-0,1299999999999999;46;4,25;2,75;5,75;-0,07000000000000028;0,07000000000000028
