ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2019;201901;2019-01;2019-01-28;4,0;4,31;-0,3099999999999996;4
2019;201902;2019-02;2019-02-25;3,84;4,31;-0,4699999999999997;4
2019;201903;2019-03;2019-03-25;3,9;4,31;-0,4099999999999997;4
2019;201904;2019-04;2019-04-29;4,04;4,31;-0,2699999999999996;5
2019;201905;2019-05;2019-05-27;4,05;4,31;-0,2599999999999998;4
2019;201906;2019-06;2019-06-24;3,79;4,31;-0,5199999999999996;4
2019;201907;2019-07;2019-07-29;3,8;4,31;-0,5099999999999998;5
2019;201908;2019-08;2019-08-26;3,55;4,31;-0,7599999999999998;4
2019;201909;2019-09;2019-09-30;3,42;4,31;-0,8899999999999997;5
2019;201910;2019-10;2019-10-28;3,3;4,31;-1,0099999999999998;4
2019;201911;2019-11;2019-11-25;3,51;4,31;-0,7999999999999998;4
2019;201912;2019-12;2019-12-30;4,18;4,31;-0,1299999999999999;5
