ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2022;202201;2022-01;2022-01-31;0,2995;3,0;-2,7005;5
2022;202202;2022-02;2022-02-21;0,3;3,0;-2,7;3
2022;202203;2022-03;2022-03-28;0,6;3,0;-2,4;4
2022;202204;2022-04;2022-04-25;0,6979;3,0;-2,3021000000000003;4
2022;202205;2022-05;2022-05-30;1,2;3,0;-1,8;5
2022;202206;2022-06;2022-06-27;1,4179;3,0;-1,5821;4
2022;202207;2022-07;2022-07-25;1,9846;3,0;-1,0154;4
2022;202208;2022-08;2022-08-29;2,1;3,0;-0,8999999999999999;5
2022;202209;2022-09;2022-09-26;2,7249;3,0;-0,2751000000000001;4
2022;202210;2022-10;2022-10-31;2,7613;3,0;-0,2387000000000001;5
2022;202211;2022-11;2022-11-28;2,7649;3,0;-0,2351000000000001;4
2022;202212;2022-12;2022-12-26;3,0509;3,0;0,0508999999999999;4
