ano,dlsp_rs_milhoes,dlsp_rs_bi,dlsp_rs_trilhoes,dlsp_pct_pib,dlsp_yoy_pct_nominal,dlsp_yoy_pp_pib,referencia_dez
2019,4041768.78,4041.76878,4.04176878,54.7,,,2019-12-01
2020,4670004.31,4670.004309999999,4.6700043099999995,61.37,15.543579165357402,6.669999999999995,2020-12-01
2021,4966921.42,4966.92142,4.96692142,55.11,6.357962226377478,-6.259999999999998,2021-12-01
2022,5658016.87,5658.01687,5.65801687,56.13,13.91395980651533,1.0200000000000031,2022-12-01
2023,6612829.73,6612.82973,6.6128297300000005,60.43,16.875397898910837,4.299999999999997,2023-12-01
2024,7220738.47,7220.738469999999,7.22073847,61.3,9.192868481735417,0.8699999999999974,2024-12-01
2025,8311085.76,8311.08576,8.31108576,65.24,15.100218551469013,3.9399999999999977,2025-12-01
