ano,focus_dbgg_pct_pib,realizado_dbgg_pct_pib,erro_dbgg_pp,focus_dlsp_pct_pib,realizado_dlsp_pct_pib,erro_dlsp_pp,dlsp_rs_trilhoes,dlsp_yoy_pct_nominal
2019,78.1,74.44,3.6599999999999966,56.0,54.7,1.2999999999999972,4.04176878,
2020,89.15,86.94,2.210000000000008,63.1,61.37,1.730000000000004,4.67000431,15.543579165357402
2021,81.0,77.31,3.6899999999999977,57.6572,55.11,2.547200000000004,4.96692142,6.357962226377478
2022,74.5,71.68,2.819999999999993,56.745,56.13,0.6149999999999949,5.65801687,13.91395980651533
2023,75.1,73.83,1.269999999999996,60.7,60.43,0.2700000000000031,6.6128297300000005,16.875397898910837
2024,77.6,76.27,1.3299999999999983,61.8,61.3,0.5,7.22073847,9.192868481735417
2025,79.65,78.64,1.0100000000000051,65.97,65.24,0.730000000000004,8.31108576,15.100218551469013
2026,83.32,,,,,,,
