ref_yyyymm;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;selic_focus_nresp
201902;2019-02-04;6,5;R1/2019;6,5;0,0;106
201903;2019-03-18;6,5;R2/2019;6,5;0,0;100
201905;2019-05-06;6,5;R3/2019;6,5;0,0;111
201906;2019-06-17;6,5;R4/2019;6,5;0,0;113
201907;2019-07-29;6,25;R5/2019;6,0;0,25;106
201909;2019-09-16;5,5;R6/2019;5,5;0,0;108
201910;2019-10-28;5,0;R7/2019;5,0;0,0;112
201912;2019-12-09;4,5;R8/2019;4,5;0,0;104
