ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
201902;2019-02;2019-02-04;6,5;R1/2019;6,5;0,0;1
201903;2019-03;2019-03-18;6,5;R2/2019;6,5;0,0;3
201905;2019-05;2019-05-06;6,5;R3/2019;6,5;0,0;1
201906;2019-06;2019-06-17;6,5;R4/2019;6,5;0,0;3
201907;2019-07;2019-07-29;6,25;R5/2019;6,0;0,25;5
201909;2019-09;2019-09-16;5,5;R6/2019;5,5;0,0;3
201910;2019-10;2019-10-28;5,0;R7/2019;5,0;0,0;4
201912;2019-12;2019-12-09;4,5;R8/2019;4,5;0,0;2
