ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202301;2023-01;2023-01-30;0,56;0,53;0,03;5
202302;2023-02;2023-02-27;0,77;0,84;-0,0699999999999999;4
202303;2023-03;2023-03-27;0,78;0,71;0,07;4
202304;2023-04;2023-04-24;0,55;0,61;-0,0599999999999999;4
202305;2023-05;2023-05-29;0,35;0,23;0,1199999999999999;5
202306;2023-06;2023-06-26;-0,11;-0,08;-0,03;4
202307;2023-07;2023-07-31;0,075;0,12;-0,045;5
202308;2023-08;2023-08-28;0,27;0,23;0,04;4
202309;2023-09;2023-09-25;0,3646;0,26;0,1045999999999999;4
202310;2023-10;2023-10-30;0,28;0,24;0,04;5
202311;2023-11;2023-11-27;0,29;0,28;0,0099999999999999;4
202312;2023-12;2023-12-26;0,4;0,56;-0,16;4
