ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
202301;2023-01-30;0,56;0,53;0,030000000000000027;109
202302;2023-02-27;0,77;0,84;-0,06999999999999995;107
202303;2023-03-27;0,78;0,71;0,07000000000000006;94
202304;2023-04-24;0,55;0,61;-0,05999999999999994;103
202305;2023-05-29;0,35;0,23;0,11999999999999997;70
202306;2023-06-26;-0,11;-0,08;-0,03;96
202307;2023-07-31;0,075;0,12;-0,045;101
202308;2023-08-28;0,27;0,23;0,04000000000000001;55
202309;2023-09-25;0,3646;0,26;0,10459999999999997;92
202310;2023-10-30;0,28;0,24;0,040000000000000036;105
202311;2023-11-27;0,29;0,28;0,009999999999999953;48
202312;2023-12-26;0,4;0,56;-0,16000000000000003;105
