ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202101;2021-01;2021-01-25;0,3;0,25;0,0499999999999999;4
202102;2021-02;2021-02-22;0,68;0,86;-0,1799999999999999;4
202103;2021-03;2021-03-29;1,0;0,93;0,0699999999999999;5
202104;2021-04;2021-04-26;0,35;0,31;0,0399999999999999;4
202105;2021-05;2021-05-31;0,69;0,83;-0,14;5
202106;2021-06;2021-06-28;0,58;0,53;0,0499999999999999;4
202107;2021-07;2021-07-26;0,93;0,96;-0,0299999999999999;4
202108;2021-08;2021-08-30;0,685;0,87;-0,1849999999999999;5
202109;2021-09;2021-09-27;1,2;1,16;0,04;4
202110;2021-10;2021-10-25;0,8319;1,25;-0,4181;4
202111;2021-11;2021-11-29;1,0658;0,95;0,1158000000000001;5
202112;2021-12;2021-12-27;0,66;0,73;-0,0699999999999999;4
