ref_yyyymm;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;selic_focus_nresp
202601;2026-01-26;15,0;R1/2026;15,0;0,0;99
202603;2026-03-16;14,75;R2/2026;14,75;0,0;106
202604;2026-04-27;14,5;R3/2026;14,5;0,0;97
202606;2026-06-08;14,25;R4/2026;14,25;0,0;50
