ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2025;202501;2025-01;2025-01-27;15,125;R8/2025;15,0;2025-12-31;0,125;96
2025;202502;2025-02;2025-02-24;15,0;R8/2025;15,0;2025-12-31;0,0;88
2025;202503;2025-03;2025-03-31;15,0;R8/2025;15,0;2025-12-31;0,0;70
2025;202504;2025-04;2025-04-28;14,75;R8/2025;15,0;2025-12-31;-0,25;55
2025;202505;2025-05;2025-05-26;14,75;R8/2025;15,0;2025-12-31;-0,25;81
2025;202506;2025-06;2025-06-30;15,0;R8/2025;15,0;2025-12-31;0,0;71
2025;202507;2025-07;2025-07-28;15,0;R8/2025;15,0;2025-12-31;0,0;81
2025;202508;2025-08;2025-08-25;15,0;R8/2025;15,0;2025-12-31;0,0;88
2025;202509;2025-09;2025-09-29;15,0;R8/2025;15,0;2025-12-31;0,0;68
2025;202510;2025-10;2025-10-27;15,0;R8/2025;15,0;2025-12-31;0,0;95
2025;202511;2025-11;2025-11-24;15,0;R8/2025;15,0;2025-12-31;0,0;76
2025;202512;2025-12;2025-12-08;15,0;R8/2025;15,0;2025-12-31;0,0;82
