ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
201901;2019-01;2019-01-28;0,4;0,32;0,08;4
201902;2019-02;2019-02-25;0,35;0,43;-0,08;4
201903;2019-03;2019-03-25;0,51;0,75;-0,24;4
201904;2019-04;2019-04-29;0,6;0,57;0,03;5
201905;2019-05;2019-05-27;0,25;0,13;0,12;4
201906;2019-06;2019-06-24;-0,02;0,01;-0,03;4
201907;2019-07;2019-07-29;0,23;0,19;0,04;5
201908;2019-08;2019-08-26;0,12;0,11;0,0099999999999999;4
201909;2019-09;2019-09-30;0,05;-0,04;0,09;5
201910;2019-10;2019-10-28;0,07;0,1;-0,03;4
201911;2019-11;2019-11-25;0,43;0,51;-0,08;4
201912;2019-12;2019-12-30;1,03;1,15;-0,1199999999999998;5
