ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
201901;2019-01-28;0,4;0,32;0,08000000000000002;34
201902;2019-02-25;0,35;0,43;-0,08000000000000002;36
201903;2019-03-25;0,51;0,75;-0,24;36
201904;2019-04-29;0,6;0,57;0,030000000000000027;37
201905;2019-05-27;0,25;0,13;0,12;58
201906;2019-06-24;-0,02;0,01;-0,03;47
201907;2019-07-29;0,23;0,19;0,04000000000000001;81
201908;2019-08-26;0,12;0,11;0,009999999999999995;91
201909;2019-09-30;0,05;-0,04;0,09;53
201910;2019-10-28;0,07;0,1;-0,03;98
201911;2019-11-25;0,43;0,51;-0,08000000000000002;104
201912;2019-12-30;1,03;1,15;-0,11999999999999988;46
