ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2023;202301;2023-01;2023-01-30;0,8;3,2;-2,4000000000000004;5
2023;202302;2023-02;2023-02-27;0,8979;3,2;-2,3021000000000003;4
2023;202303;2023-03;2023-03-27;0,9947;3,2;-2,2053000000000003;4
2023;202304;2023-04;2023-04-24;0,9977;3,2;-2,2023;4
2023;202305;2023-05;2023-05-29;1,6;3,2;-1,6;5
2023;202306;2023-06;2023-06-26;2,1874;3,2;-1,0126000000000004;4
2023;202307;2023-07;2023-07-31;2,2109;3,2;-0,9891;5
2023;202308;2023-08;2023-08-28;2,2935;3,2;-0,9065000000000004;4
2023;202309;2023-09;2023-09-25;2,9541;3,2;-0,2459000000000002;4
2023;202310;2023-10;2023-10-30;2,8419;3,2;-0,3581000000000003;5
2023;202311;2023-11;2023-11-27;2,8123;3,2;-0,3877000000000001;4
2023;202312;2023-12;2023-12-26;2,9334;3,2;-0,2666000000000004;4
