ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2023;202301;2023-01;2023-01-30;0,8;3,2;2024-03-01;-2,4000000000000004;56
2023;202302;2023-02;2023-02-27;0,8979;3,2;2024-03-01;-2,3021000000000003;75
2023;202303;2023-03;2023-03-27;0,9947;3,2;2024-03-01;-2,2053000000000003;57
2023;202304;2023-04;2023-04-24;0,9977;3,2;2024-03-01;-2,2023;68
2023;202305;2023-05;2023-05-29;1,6;3,2;2024-03-01;-1,6;33
2023;202306;2023-06;2023-06-26;2,1874;3,2;2024-03-01;-1,0126000000000004;57
2023;202307;2023-07;2023-07-31;2,2109;3,2;2024-03-01;-0,9891000000000001;57
2023;202308;2023-08;2023-08-28;2,2935;3,2;2024-03-01;-0,9065000000000003;28
2023;202309;2023-09;2023-09-25;2,9541;3,2;2024-03-01;-0,24590000000000023;61
2023;202310;2023-10;2023-10-30;2,8419;3,2;2024-03-01;-0,3581000000000003;64
2023;202311;2023-11;2023-11-27;2,8123;3,2;2024-03-01;-0,38770000000000016;32
2023;202312;2023-12;2023-12-26;2,9334;3,2;2024-03-01;-0,2666000000000004;66
