ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2024;202401;2024-01;2024-01-29;9,0;R8/2024;12,25;-3,25;5
2024;202402;2024-02;2024-02-26;9,0;R8/2024;12,25;-3,25;4
2024;202403;2024-03;2024-03-25;9,0;R8/2024;12,25;-3,25;4
2024;202404;2024-04;2024-04-29;9,5;R8/2024;12,25;-2,75;5
2024;202405;2024-05;2024-05-27;10,25;R8/2024;12,25;-2,0;4
2024;202406;2024-06;2024-06-24;10,5;R8/2024;12,25;-1,75;4
2024;202407;2024-07;2024-07-29;10,5;R8/2024;12,25;-1,75;5
2024;202408;2024-08;2024-08-26;10,5;R8/2024;12,25;-1,75;4
2024;202409;2024-09;2024-09-30;11,75;R8/2024;12,25;-0,5;5
2024;202410;2024-10;2024-10-28;11,75;R8/2024;12,25;-0,5;4
2024;202411;2024-11;2024-11-25;11,75;R8/2024;12,25;-0,5;4
2024;202412;2024-12;2024-12-09;12,0;R8/2024;12,25;-0,25;2
