ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202501;2025-01;2025-01-27;0,1355;0,16;-0,0244999999999999;4
202502;2025-02;2025-02-24;1,38;1,31;0,0699999999999998;4
202503;2025-03;2025-03-31;0,56;0,56;0,0;5
202504;2025-04;2025-04-28;0,44;0,43;0,01;4
202505;2025-05;2025-05-26;0,4;0,26;0,14;4
202506;2025-06;2025-06-30;0,21;0,24;-0,03;5
202507;2025-07;2025-07-28;0,34;0,26;0,08;4
202508;2025-08;2025-08-25;-0,16;-0,11;-0,05;4
202509;2025-09;2025-09-29;0,55;0,48;0,07;5
202510;2025-10;2025-10-27;0,15;0,09;0,06;4
202511;2025-11;2025-11-24;0,2;0,18;0,02;4
202512;2025-12;2025-12-29;0,35;0,33;0,0199999999999999;5
