ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
202501;2025-01-27;0,1355;0,16;-0,024499999999999994;110
202502;2025-02-24;1,38;1,31;0,06999999999999984;103
202503;2025-03-31;0,56;0,56;0,0;58
202504;2025-04-28;0,44;0,43;0,010000000000000009;58
202505;2025-05-26;0,4;0,26;0,14;101
202506;2025-06-30;0,21;0,24;-0,03;65
202507;2025-07-28;0,34;0,26;0,08000000000000002;101
202508;2025-08-25;-0,16;-0,11;-0,05;107
202509;2025-09-29;0,55;0,48;0,07000000000000006;59
202510;2025-10-27;0,15;0,09;0,06;114
202511;2025-11-24;0,2;0,18;0,020000000000000018;92
202512;2025-12-29;0,35;0,33;0,019999999999999962;45
