ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202303;2023-03;2023-03-20;13,75;R2/2023;13,75;0,0;3
202305;2023-05;2023-05-02;13,75;R3/2023;13,75;0,0;1
202306;2023-06;2023-06-19;13,75;R4/2023;13,75;0,0;3
202309;2023-09;2023-09-18;12,75;R6/2023;12,75;0,0;3
202312;2023-12;2023-12-11;11,75;R8/2023;11,75;0,0;2
