ano;n_meses_observados;ano_parcial;mes_fim_observacao;pib_focus_jan_pct;pib_focus_dez_pct;pib_ibge_4tri_realizado_pct;erro_dez_pp;erro_medio_pp;erro_rmse_pp
2019;12;0;2019-12;2,5;1,17;1.2;-0.03;0.15;0.6315589178110517
2020;12;0;2020-12;2,3;-4,35;-3.3;-1.0499999999999998;-0.21083333333333343;2.9377017661203575
2021;12;0;2021-12;3,49;4,5022;4.8;-0.2977999999999996;-0.45811666666666645;0.9494164979958303
2022;12;0;2022-12;0,2995;3,0509;3.0;0.0508999999999999;-1.3415083333333333;1.668756092373398
2023;12;0;2023-12;0,8;2,9334;3.2;-0.2666000000000004;-1.2396833333333335;1.4879697263945486
2024;12;0;2024-12;1,6142;3,5;3.4;0.1;-0.98915;1.1591441814258197
2025;12;0;2025-12;2,0656;2,25;2.3;-0.0499999999999998;-0.16324999999999978;0.1881249274639947
2026;5;1;2026-05;1,8;1,8884;;;;
