data_obs,mes,dbgg_sgs_pct_pib
2021-01-01,1,86.91
2021-02-01,2,86.87
2021-03-01,3,85.1
2021-04-01,4,82.62
2021-05-01,5,81.44
2021-06-01,6,80.6
2021-07-01,7,80.25
2021-08-01,8,79.64
2021-09-01,9,79.62
2021-10-01,10,79.52
2021-11-01,11,78.22
2021-12-01,12,77.31
