survey_date,ano_ref,dbgg_focus_med_pct_pib,numeroRespondentes
2018-01-22,2021,84.0,19
2018-01-23,2021,84.2,22
2018-01-24,2021,84.2,22
2018-01-25,2021,84.2,22
2018-01-26,2021,84.2,22
2018-01-29,2021,83.8,20
2018-01-30,2021,82.95,20
2018-01-31,2021,83.6,21
2018-02-01,2021,83.6,21
2018-02-02,2021,83.8,22
2018-02-05,2021,83.8,22
2018-02-06,2021,83.8,24
2018-02-07,2021,83.8,24
2018-02-08,2021,83.6,23
2018-02-09,2021,83.8,22
2018-02-14,2021,83.6,21
2018-02-15,2021,82.25,22
2018-02-16,2021,82.25,22
2018-02-19,2021,81.45,22
2018-02-20,2021,81.75,22
2018-02-21,2021,81.75,22
2018-02-22,2021,81.5,23
2018-02-23,2021,81.5,23
2018-02-26,2021,81.5,23
2018-02-27,2021,81.5,23
2018-02-28,2021,81.5,23
2018-03-01,2021,81.5,23
2018-03-02,2021,81.5,23
2018-03-05,2021,81.4,21
2018-03-06,2021,81.4,21
2018-03-07,2021,81.4,21
2018-03-08,2021,81.4,21
2018-03-09,2021,81.45,20
2018-03-12,2021,81.4,19
2018-03-13,2021,81.4,19
2018-03-14,2021,81.35,20
2018-03-15,2021,81.35,20
2018-03-16,2021,81.35,20
2018-03-19,2021,81.3,17
2018-03-20,2021,81.65,18
2018-03-21,2021,81.65,18
2018-03-22,2021,81.65,18
2018-03-23,2021,81.3,17
2018-03-26,2021,81.2,15
2018-03-27,2021,81.2,15
2018-03-28,2021,81.25,16
2018-03-29,2021,81.25,16
2018-04-02,2021,81.2,17
2018-04-03,2021,81.2,17
2018-04-04,2021,81.2,17
2018-04-05,2021,81.2,17
2018-04-06,2021,81.2,17
2018-04-09,2021,81.3,17
2018-04-10,2021,81.3,17
2018-04-11,2021,81.3,17
2018-04-12,2021,81.3,17
2018-04-13,2021,81.25,18
2018-04-16,2021,81.15,18
2018-04-17,2021,81.15,18
2018-04-18,2021,81.15,18
2018-04-19,2021,81.35,20
2018-04-20,2021,81.35,20
2018-04-23,2021,81.35,20
2018-04-24,2021,81.2,20
2018-04-25,2021,81.2,20
2018-04-26,2021,81.2,20
2018-04-27,2021,81.2,20
2018-04-30,2021,81.0,19
2018-05-02,2021,81.0,19
2018-05-03,2021,81.2,18
2018-05-04,2021,81.2,18
2018-05-07,2021,81.2,18
2018-05-08,2021,81.2,18
2018-05-09,2021,81.0,19
2018-05-10,2021,80.8,18
2018-05-11,2021,81.0,19
2018-05-14,2021,81.4,17
2018-05-15,2021,81.65,18
2018-05-16,2021,81.65,18
2018-05-17,2021,81.9,17
