ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2025;202501;2025-01;2025-01-27;5,6528;4,26;1,3928000000000005;4
2025;202502;2025-02;2025-02-24;5,6873;4,26;1,4272999999999998;4
2025;202503;2025-03;2025-03-31;5,65;4,26;1,3900000000000006;5
2025;202504;2025-04;2025-04-28;5,5;4,26;1,2400000000000002;4
2025;202505;2025-05;2025-05-26;5,5001;4,26;1,2401;4
2025;202506;2025-06;2025-06-30;5,14;4,26;0,8799999999999999;5
2025;202507;2025-07;2025-07-28;5,0879;4,26;0,8279000000000005;4
2025;202508;2025-08;2025-08-25;4,8386;4,26;0,5785999999999998;4
2025;202509;2025-09;2025-09-29;4,7989;4,26;0,5388999999999999;5
2025;202510;2025-10;2025-10-27;4,5245;4,26;0,2644999999999999;4
2025;202511;2025-11;2025-11-24;4,4306;4,26;0,1706000000000003;4
2025;202512;2025-12;2025-12-29;4,2851;4,26;0,0251000000000001;5
