ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2020;202001;2020-01;2020-01-27;3,46;4,52;-1,0599999999999996;4
2020;202002;2020-02;2020-02-26;3,22;4,52;-1,2999999999999994;4
2020;202003;2020-03;2020-03-30;2,63;4,52;-1,89;5
2020;202004;2020-04;2020-04-27;2,05;4,52;-2,47;4
2020;202005;2020-05;2020-05-25;1,57;4,52;-2,9499999999999997;4
2020;202006;2020-06;2020-06-29;1,7;4,52;-2,8199999999999994;5
2020;202007;2020-07;2020-07-27;1,65;4,52;-2,87;4
2020;202008;2020-08;2020-08-31;1,8;4,52;-2,72;5
2020;202009;2020-09;2020-09-28;2,27;4,52;-2,25;4
2020;202010;2020-10;2020-10-26;3,06;4,52;-1,4599999999999995;4
2020;202011;2020-11;2020-11-30;3,75;4,52;-0,7699999999999996;5
2020;202012;2020-12;2020-12-28;4,36;4,52;-0,1599999999999992;4
