ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2020;202001;2020-01;2020-01-27;3,46;4,52;2021-01-10;-1,0599999999999996;87;4,0;2,5;5,5;-0,54;0,54
2020;202002;2020-02;2020-02-26;3,22;4,52;2021-01-10;-1,2999999999999994;53;4,0;2,5;5,5;-0,7799999999999998;0,7799999999999998
2020;202003;2020-03;2020-03-30;2,63;4,52;2021-01-10;-1,8899999999999997;54;4,0;2,5;5,5;-1,37;1,37
2020;202004;2020-04;2020-04-27;2,05;4,52;2021-01-10;-2,4699999999999998;40;4,0;2,5;5,5;-1,9500000000000002;1,9500000000000002
2020;202005;2020-05;2020-05-25;1,57;4,52;2021-01-10;-2,9499999999999993;50;4,0;2,5;5,5;-2,4299999999999997;2,4299999999999997
2020;202006;2020-06;2020-06-29;1,7;4,52;2021-01-10;-2,8199999999999994;52;4,0;2,5;5,5;-2,3;2,3
2020;202007;2020-07;2020-07-27;1,65;4,52;2021-01-10;-2,8699999999999997;88;4,0;2,5;5,5;-2,35;2,35
2020;202008;2020-08;2020-08-31;1,8;4,52;2021-01-10;-2,7199999999999998;79;4,0;2,5;5,5;-2,2;2,2
2020;202009;2020-09;2020-09-28;2,27;4,52;2021-01-10;-2,2499999999999996;51;4,0;2,5;5,5;-1,73;1,73
2020;202010;2020-10;2020-10-26;3,06;4,52;2021-01-10;-1,4599999999999995;98;4,0;2,5;5,5;-0,94;0,94
2020;202011;2020-11;2020-11-30;3,75;4,52;2021-01-10;-0,7699999999999996;40;4,0;2,5;5,5;-0,25;0,25
2020;202012;2020-12;2020-12-28;4,36;4,52;2021-01-10;-0,15999999999999925;33;4,0;2,5;5,5;0,3600000000000003;0,3600000000000003
