ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202203;2022-03;2022-03-14;11,75;R2/2022;11,75;0,0;2
202205;2022-05;2022-05-02;12,75;R3/2022;12,75;0,0;1
202206;2022-06;2022-06-13;13,25;R4/2022;13,25;0,0;2
202208;2022-08;2022-08-01;13,75;R5/2022;13,75;0,0;1
202209;2022-09;2022-09-19;13,75;R6/2022;13,75;0,0;3
202210;2022-10;2022-10-24;13,75;R7/2022;13,75;0,0;4
202212;2022-12;2022-12-05;13,75;R8/2022;13,75;0,0;1
