data_obs,mes,dbgg_sgs_pct_pib
2022-01-01,1,77.0
2022-02-01,2,76.92
2022-03-01,3,76.4
2022-04-01,4,76.33
2022-05-01,5,75.68
2022-06-01,6,75.61
2022-07-01,7,75.24
2022-08-01,8,74.56
2022-09-01,9,74.15
2022-10-01,10,73.7
2022-11-01,11,72.95
2022-12-01,12,71.68
