ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202101;2021-01;2021-01-18;2,0;R1/2021;2,0;0,0;3
202103;2021-03;2021-03-15;2,5;R2/2021;2,75;-0,25;3
202105;2021-05;2021-05-03;3,5;R3/2021;3,5;0,0;1
202106;2021-06;2021-06-14;4,25;R4/2021;4,25;0,0;2
202108;2021-08;2021-08-02;5,25;R5/2021;5,25;0,0;1
202109;2021-09;2021-09-20;6,25;R6/2021;6,25;0,0;3
202110;2021-10;2021-10-25;7,5;R7/2021;7,75;-0,25;4
202112;2021-12;2021-12-06;9,25;R8/2021;9,25;0,0;1
