ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2024;202401;2024-01;2024-01-29;3,8;4,83;2025-01-10;-1,0300000000000002;109;3,0;1,5;4,5;0,7999999999999998;0,7999999999999998
2024;202402;2024-02;2024-02-26;3,781;4,83;2025-01-10;-1,049;50;3,0;1,5;4,5;0,7810000000000001;0,7810000000000001
2024;202403;2024-03;2024-03-25;3,7152;4,83;2025-01-10;-1,1148000000000002;95;3,0;1,5;4,5;0,7151999999999998;0,7151999999999998
2024;202404;2024-04;2024-04-29;3,6731;4,83;2025-01-10;-1,1569000000000003;52;3,0;1,5;4,5;0,6730999999999998;0,6730999999999998
2024;202405;2024-05;2024-05-27;3,88;4,83;2025-01-10;-0,9500000000000002;111;3,0;1,5;4,5;0,8799999999999999;0,8799999999999999
2024;202406;2024-06;2024-06-24;4,0;4,83;2025-01-10;-0,8300000000000001;99;3,0;1,5;4,5;1,0;1,0
2024;202407;2024-07;2024-07-29;4,0921;4,83;2025-01-10;-0,7378999999999998;107;3,0;1,5;4,5;1,0921000000000003;1,0921000000000003
2024;202408;2024-08;2024-08-26;4,2791;4,83;2025-01-10;-0,5509000000000004;103;3,0;1,5;4,5;1,2790999999999997;1,2790999999999997
2024;202409;2024-09;2024-09-30;4,361;4,83;2025-01-10;-0,4690000000000003;67;3,0;1,5;4,5;1,3609999999999998;1,3609999999999998
2024;202410;2024-10;2024-10-28;4,5681;4,83;2025-01-10;-0,2618999999999998;50;3,0;1,5;4,5;1,5681000000000003;1,5681000000000003
2024;202411;2024-11;2024-11-25;4,6416;4,83;2025-01-10;-0,18839999999999968;114;3,0;1,5;4,5;1,6416000000000004;1,6416000000000004
2024;202412;2024-12;2024-12-30;4,8458;4,83;2025-01-10;0,015799999999999592;54;3,0;1,5;4,5;1,8457999999999997;1,8457999999999997
