teste;valor;p_value;nota
chow_f_stat;554,3371070930513;0,0;quebra estrutural significante a 5%
chow_n_bolsonaro;922,0;;
chow_n_lula;803,0;;
chow_params_count;3,0;;Variáveis analisadas: vix, commodities
