ano_ref;survey_date_primeira_previsao;selic_focus_ano_pct;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp
2019;2019-01-02;7,0;4,400116023050438;2,5998839769495623
2020;2020-01-02;4,5;1,8999411926388765;2,6000588073611235
2021;2021-01-04;3,25;9,14993146517089;-5,899931465170891
2022;2022-01-03;11,75;13,649989315282562;-1,8999893152825624
2023;2023-01-02;12,25;11,649931856340622;0,600068143659378
2024;2024-01-02;9,0;12,149954341558988;-3,1499543415589883
2025;2025-01-02;15,0;14,899981434569277;0,10001856543072307
