ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
202401;2024-01-29;0,37;0,42;-0,04999999999999999;107
202402;2024-02-26;0,75;0,83;-0,07999999999999996;48
202403;2024-03-25;0,2;0,16;0,04000000000000001;95
202404;2024-04-29;0,32;0,38;-0,06;51
202405;2024-05-27;0,4095;0,46;-0,050500000000000045;111
202406;2024-06-24;0,34;0,21;0,13000000000000003;99
202407;2024-07-29;0,33;0,38;-0,04999999999999999;107
202408;2024-08-26;0,02;-0,02;0,04;103
202409;2024-09-30;0,46;0,44;0,020000000000000018;67
202410;2024-10-28;0,52;0,56;-0,040000000000000036;49
202411;2024-11-25;0,24;0,39;-0,15000000000000002;113
202412;2024-12-30;0,534;0,52;0,014000000000000012;54
