ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2023;202301;2023-01;2023-01-30;12,5;R8/2023;11,75;2023-12-31;0,75;83
2023;202302;2023-02;2023-02-27;13,0;R8/2023;11,75;2023-12-31;1,25;83
2023;202303;2023-03;2023-03-27;12,75;R8/2023;11,75;2023-12-31;1,0;81
2023;202304;2023-04;2023-04-24;12,5;R8/2023;11,75;2023-12-31;0,75;79
2023;202305;2023-05;2023-05-29;12,5;R8/2023;11,75;2023-12-31;0,75;47
2023;202306;2023-06;2023-06-26;12,25;R8/2023;11,75;2023-12-31;0,5;81
2023;202307;2023-07;2023-07-31;12,0;R8/2023;11,75;2023-12-31;0,25;89
2023;202308;2023-08;2023-08-28;11,75;R8/2023;11,75;2023-12-31;0,0;38
2023;202309;2023-09;2023-09-25;11,75;R8/2023;11,75;2023-12-31;0,0;81
2023;202310;2023-10;2023-10-30;11,75;R8/2023;11,75;2023-12-31;0,0;91
2023;202311;2023-11;2023-11-27;11,75;R8/2023;11,75;2023-12-31;0,0;39
2023;202312;2023-12;2023-12-11;11,75;R8/2023;11,75;2023-12-31;0,0;93
