ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2023;202301;2023-01;2023-01-30;12,5;R8/2023;11,75;0,75;5
2023;202302;2023-02;2023-02-27;13,0;R8/2023;11,75;1,25;4
2023;202303;2023-03;2023-03-27;12,75;R8/2023;11,75;1,0;4
2023;202304;2023-04;2023-04-24;12,5;R8/2023;11,75;0,75;4
2023;202305;2023-05;2023-05-29;12,5;R8/2023;11,75;0,75;5
2023;202306;2023-06;2023-06-26;12,25;R8/2023;11,75;0,5;4
2023;202307;2023-07;2023-07-31;12,0;R8/2023;11,75;0,25;5
2023;202308;2023-08;2023-08-28;11,75;R8/2023;11,75;0,0;4
2023;202309;2023-09;2023-09-25;11,75;R8/2023;11,75;0,0;4
2023;202310;2023-10;2023-10-30;11,75;R8/2023;11,75;0,0;5
2023;202311;2023-11;2023-11-27;11,75;R8/2023;11,75;0,0;4
2023;202312;2023-12;2023-12-11;11,75;R8/2023;11,75;0,0;2
