survey_date,ano_ref,dbgg_focus_med_pct_pib,numeroRespondentes,dbgg_sgs_pct_pib,dbgg_sgs_yoy_pp,dbgg_sgs_data_obs,dbgg_divulgacao_aprox
2018-04-23,2025,83.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-04-24,2025,82.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-04-25,2025,82.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-04-26,2025,82.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-04-27,2025,82.0,17,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-04-30,2025,81.8,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-02,2025,81.8,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-03,2025,82.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-04,2025,82.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-07,2025,82.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-08,2025,82.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-09,2025,82.5,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-10,2025,82.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-11,2025,82.5,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-14,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-15,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-16,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-17,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-18,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-21,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-22,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-23,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-24,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-25,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-28,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-29,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-05-30,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-01,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-04,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-05,2025,82.85,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-06,2025,82.85,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-07,2025,82.85,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-08,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-11,2025,83.0,13,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-12,2025,83.0,13,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-13,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-14,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-15,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-18,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-19,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-20,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-21,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-22,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-25,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-26,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-27,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-28,2025,83.0,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-06-29,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-02,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-03,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-04,2025,82.85,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-05,2025,82.85,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-06,2025,82.85,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-09,2025,82.85,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-10,2025,82.85,14,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-11,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-12,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-13,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-16,2025,83.0,15,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-17,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-18,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-19,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-20,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-23,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
2018-07-24,2025,83.0,16,78.64,2.3700000000000045,2025-12-01,2026-05-01
