data_obs,mes,dbgg_sgs_pct_pib
2025-01-01,1,75.48
2025-02-01,2,75.78
2025-03-01,3,75.55
2025-04-01,4,75.62
2025-05-01,5,75.75
2025-06-01,6,76.3
2025-07-01,7,77.18
2025-08-01,8,77.31
2025-09-01,9,77.84
2025-10-01,10,78.29
2025-11-01,11,78.96
2025-12-01,12,78.64
