ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202501;2025-01;2025-01-27;13,25;R1/2025;13,25;0,0;4
202503;2025-03;2025-03-17;14,25;R2/2025;14,25;0,0;3
202505;2025-05;2025-05-05;14,75;R3/2025;14,75;0,0;1
202506;2025-06;2025-06-16;14,75;R4/2025;15,0;-0,25;3
202507;2025-07;2025-07-28;15,0;R5/2025;15,0;0,0;4
202509;2025-09;2025-09-15;15,0;R6/2025;15,0;0,0;3
202511;2025-11;2025-11-03;15,0;R7/2025;15,0;0,0;1
202512;2025-12;2025-12-08;15,0;R8/2025;15,0;0,0;2
