ref_yyyymm;mes_referencia;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202401;2024-01;2024-01-29;11,25;R1/2024;11,25;0,0;5
202403;2024-03;2024-03-18;10,75;R2/2024;10,75;0,0;3
202405;2024-05;2024-05-06;10,5;R3/2024;10,5;0,0;1
202406;2024-06;2024-06-17;10,5;R4/2024;10,5;0,0;3
202407;2024-07;2024-07-29;10,5;R5/2024;10,5;0,0;5
202409;2024-09;2024-09-16;10,75;R6/2024;10,75;0,0;3
202411;2024-11;2024-11-04;11,25;R7/2024;11,25;0,0;1
202412;2024-12;2024-12-09;12,0;R8/2024;12,25;-0,25;2
