data_obs,mes,dbgg_sgs_pct_pib
2023-01-01,1,71.38
2023-02-01,2,71.77
2023-03-01,3,71.54
2023-04-01,4,71.57
2023-05-01,5,72.11
2023-06-01,6,71.97
2023-07-01,7,72.48
2023-08-01,8,72.89
2023-09-01,9,73.01
2023-10-01,10,73.32
2023-11-01,11,73.32
2023-12-01,12,73.83
