ref_yyyymm;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;ipca_focus_mensal_nresp
202001;2020-01-27;0,35;0,21;0,13999999999999999;87
202002;2020-02-26;0,15;0,25;-0,1;52
202003;2020-03-30;0,1;0,07;0,03;54
202004;2020-04-27;-0,14;-0,31;0,16999999999999998;39
202005;2020-05-25;-0,4;-0,38;-0,020000000000000018;50
202006;2020-06-29;0,25;0,26;-0,010000000000000009;51
202007;2020-07-27;0,37;0,36;0,010000000000000009;86
202008;2020-08-31;0,22;0,24;-0,01999999999999999;79
202009;2020-09-28;0,5;0,64;-0,14;51
202010;2020-10-26;0,8;0,86;-0,05999999999999994;98
202011;2020-11-30;0,75;0,89;-0,14;39
202012;2020-12-28;1,21;1,35;-0,14000000000000012;32
