ref_yyyymm;mes_referencia;survey_date_previsao;ipca_focus_med_mensal_pct;ipca_ibge_mensal_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
202001;2020-01;2020-01-27;0,35;0,21;0,1399999999999999;4
202002;2020-02;2020-02-26;0,15;0,25;-0,1;4
202003;2020-03;2020-03-30;0,1;0,07;0,03;5
202004;2020-04;2020-04-27;-0,14;-0,31;0,1699999999999999;4
202005;2020-05;2020-05-25;-0,4;-0,38;-0,02;4
202006;2020-06;2020-06-29;0,25;0,26;-0,01;5
202007;2020-07;2020-07-27;0,37;0,36;0,01;4
202008;2020-08;2020-08-31;0,22;0,24;-0,0199999999999999;5
202009;2020-09;2020-09-28;0,5;0,64;-0,14;4
202010;2020-10;2020-10-26;0,8;0,86;-0,0599999999999999;4
202011;2020-11;2020-11-30;0,75;0,89;-0,14;5
202012;2020-12;2020-12-28;1,21;1,35;-0,1400000000000001;4
