data_obs,mes,dbgg_sgs_pct_pib
2019-01-01,1,75.44
2019-02-01,2,75.52
2019-03-01,3,76.71
2019-04-01,4,77.12
2019-05-01,5,76.55
2019-06-01,6,76.67
2019-07-01,7,76.83
2019-08-01,8,77.55
2019-09-01,9,76.6
2019-10-01,10,75.79
2019-11-01,11,76.2
2019-12-01,12,74.44
