ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2020;202001;2020-01;2020-01-27;4,25;R8/2020;2,0;2,25;4
2020;202002;2020-02;2020-02-26;4,25;R8/2020;2,0;2,25;4
2020;202003;2020-03;2020-03-30;3,25;R8/2020;2,0;1,25;5
2020;202004;2020-04;2020-04-27;3,0;R8/2020;2,0;1,0;4
2020;202005;2020-05;2020-05-25;2,25;R8/2020;2,0;0,25;4
2020;202006;2020-06;2020-06-29;2,0;R8/2020;2,0;0,0;5
2020;202007;2020-07;2020-07-27;2,0;R8/2020;2,0;0,0;4
2020;202008;2020-08;2020-08-31;2,0;R8/2020;2,0;0,0;5
2020;202009;2020-09;2020-09-28;2,0;R8/2020;2,0;0,0;4
2020;202010;2020-10;2020-10-26;2,0;R8/2020;2,0;0,0;4
2020;202011;2020-11;2020-11-30;2,0;R8/2020;2,0;0,0;5
2020;202012;2020-12;2020-12-07;2,0;R8/2020;2,0;0,0;1
