ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2021;202101;2021-01;2021-01-25;3,5;R8/2021;9,25;2021-12-31;-5,75;105
2021;202102;2021-02;2021-02-22;4,0;R8/2021;9,25;2021-12-31;-5,25;112
2021;202103;2021-03;2021-03-29;5,0;R8/2021;9,25;2021-12-31;-4,25;114
2021;202104;2021-04;2021-04-26;5,25;R8/2021;9,25;2021-12-31;-4,0;73
2021;202105;2021-05;2021-05-31;6,0;R8/2021;9,25;2021-12-31;-3,25;44
2021;202106;2021-06;2021-06-28;6,75;R8/2021;9,25;2021-12-31;-2,5;69
2021;202107;2021-07;2021-07-26;7,0;R8/2021;9,25;2021-12-31;-2,25;76
2021;202108;2021-08;2021-08-30;7,75;R8/2021;9,25;2021-12-31;-1,5;41
2021;202109;2021-09;2021-09-27;8,25;R8/2021;9,25;2021-12-31;-1,0;50
2021;202110;2021-10;2021-10-25;8,75;R8/2021;9,25;2021-12-31;-0,5;97
2021;202111;2021-11;2021-11-29;9,25;R8/2021;9,25;2021-12-31;0,0;43
2021;202112;2021-12;2021-12-06;9,25;R8/2021;9,25;2021-12-31;0,0;82
