ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2025;202501;2025-01;2025-01-27;2,0656;2,3;2026-03-01;-0,23439999999999994;80
2025;202502;2025-02;2025-02-24;2,0;2,3;2026-03-01;-0,2999999999999998;68
2025;202503;2025-03;2025-03-31;1,9972;2,3;2026-03-01;-0,30279999999999974;37
2025;202504;2025-04;2025-04-28;1,995;2,3;2026-03-01;-0,3049999999999997;46
2025;202505;2025-05;2025-05-26;2,2;2,3;2026-03-01;-0,09999999999999964;64
2025;202506;2025-06;2025-06-30;2,2581;2,3;2026-03-01;-0,041899999999999604;38
2025;202507;2025-07;2025-07-28;2,2089;2,3;2026-03-01;-0,09109999999999996;51
2025;202508;2025-08;2025-08-25;2,1808;2,3;2026-03-01;-0,11919999999999975;70
2025;202509;2025-09;2025-09-29;2,1868;2,3;2026-03-01;-0,11319999999999997;41
2025;202510;2025-10;2025-10-27;2,1536;2,3;2026-03-01;-0,14639999999999986;73
2025;202511;2025-11;2025-11-24;2,145;2,3;2026-03-01;-0,1549999999999998;66
2025;202512;2025-12;2025-12-29;2,25;2,3;2026-03-01;-0,04999999999999982;25
