ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2025;202501;2025-01;2025-01-27;2,0656;2,3;-0,2343999999999999;4
2025;202502;2025-02;2025-02-24;2,0;2,3;-0,2999999999999998;4
2025;202503;2025-03;2025-03-31;1,9972;2,3;-0,3027999999999997;5
2025;202504;2025-04;2025-04-28;1,995;2,3;-0,3049999999999997;4
2025;202505;2025-05;2025-05-26;2,2;2,3;-0,0999999999999996;4
2025;202506;2025-06;2025-06-30;2,2581;2,3;-0,0418999999999996;5
2025;202507;2025-07;2025-07-28;2,2089;2,3;-0,0910999999999999;4
2025;202508;2025-08;2025-08-25;2,1808;2,3;-0,1191999999999997;4
2025;202509;2025-09;2025-09-29;2,1868;2,3;-0,1131999999999999;5
2025;202510;2025-10;2025-10-27;2,1536;2,3;-0,1463999999999998;4
2025;202511;2025-11;2025-11-24;2,145;2,3;-0,1549999999999998;4
2025;202512;2025-12;2025-12-29;2,25;2,3;-0,0499999999999998;5
