ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2022;202201;2022-01;2022-01-31;5,499;5,79;-0,2910000000000003;5
2022;202202;2022-02;2022-02-21;5,6063;5,79;-0,1836999999999999;3
2022;202203;2022-03;2022-03-28;7,0965;5,79;1,3064999999999998;4
2022;202204;2022-04;2022-04-25;7,69;5,79;1,9000000000000004;4
2022;202205;2022-05;2022-05-30;8,8427;5,79;3,0527000000000006;5
2022;202206;2022-06;2022-06-27;8,0;5,79;2,21;4
2022;202207;2022-07;2022-07-25;7,2148;5,79;1,4248000000000005;4
2022;202208;2022-08;2022-08-29;6,5733;5,79;0,7832999999999997;5
2022;202209;2022-09;2022-09-26;5,7596;5,79;-0,0304000000000002;4
2022;202210;2022-10;2022-10-31;5,6377;5,79;-0,1523000000000003;5
2022;202211;2022-11;2022-11-28;5,9432;5,79;0,1532;4
2022;202212;2022-12;2022-12-26;5,6064;5,79;-0,1836000000000002;4
