ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2022;202201;2022-01;2022-01-31;5,499;5,79;2023-01-10;-0,29100000000000037;108;3,5;2,0;5,0;1,9989999999999997;1,9989999999999997
2022;202202;2022-02;2022-02-21;5,6063;5,79;2023-01-10;-0,18369999999999997;93;3,5;2,0;5,0;2,1063;2,1063
2022;202203;2022-03;2022-03-28;7,0965;5,79;2023-01-10;1,3064999999999998;79;3,5;2,0;5,0;3,5965;3,5965
2022;202204;2022-04;2022-04-25;7,69;5,79;2023-01-10;1,9000000000000004;102;3,5;2,0;5,0;4,19;4,19
2022;202205;2022-05;2022-05-30;8,8427;5,79;2023-01-10;3,0527000000000006;47;3,5;2,0;5,0;5,342700000000001;5,342700000000001
2022;202206;2022-06;2022-06-27;8,0;5,79;2023-01-10;2,21;49;3,5;2,0;5,0;4,5;4,5
2022;202207;2022-07;2022-07-25;7,2148;5,79;2023-01-10;1,4248000000000003;110;3,5;2,0;5,0;3,7148000000000003;3,7148000000000003
2022;202208;2022-08;2022-08-29;6,5733;5,79;2023-01-10;0,7832999999999997;64;3,5;2,0;5,0;3,0732999999999997;3,0732999999999997
2022;202209;2022-09;2022-09-26;5,7596;5,79;2023-01-10;-0,030400000000000205;92;3,5;2,0;5,0;2,2596;2,2596
2022;202210;2022-10;2022-10-31;5,6377;5,79;2023-01-10;-0,15230000000000032;53;3,5;2,0;5,0;2,1376999999999997;2,1376999999999997
2022;202211;2022-11;2022-11-28;5,9432;5,79;2023-01-10;0,1532;47;3,5;2,0;5,0;2,4432;2,4432
2022;202212;2022-12;2022-12-26;5,6064;5,79;2023-01-10;-0,1836000000000002;95;3,5;2,0;5,0;2,1064;2,1064
