ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2019;201901;2019-01;2019-01-28;2,5;1,2;2020-03-01;1,3;63
2019;201902;2019-02;2019-02-25;2,48;1,2;2020-03-01;1,28;65
2019;201903;2019-03;2019-03-25;2,0;1,2;2020-03-01;0,8;65
2019;201904;2019-04;2019-04-29;1,6;1,2;2020-03-01;0,40000000000000013;70
2019;201905;2019-05;2019-05-27;1,2;1,2;2020-03-01;0,0;81
2019;201906;2019-06;2019-06-24;0,86;1,2;2020-03-01;-0,33999999999999997;80
2019;201907;2019-07;2019-07-29;0,82;1,2;2020-03-01;-0,38;71
2019;201908;2019-08;2019-08-26;0,8;1,2;2020-03-01;-0,3999999999999999;68
2019;201909;2019-09;2019-09-30;0,87;1,2;2020-03-01;-0,32999999999999996;78
2019;201910;2019-10;2019-10-28;0,91;1,2;2020-03-01;-0,2899999999999999;76
2019;201911;2019-11;2019-11-25;0,99;1,2;2020-03-01;-0,20999999999999996;69
2019;201912;2019-12;2019-12-30;1,17;1,2;2020-03-01;-0,030000000000000027;74
