ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2023;202301;2023-01;2023-01-30;5,8;4,62;1,1799999999999995;5
2023;202302;2023-02;2023-02-27;5,9346;4,62;1,3145999999999995;4
2023;202303;2023-03;2023-03-27;5,966;4,62;1,346;4
2023;202304;2023-04;2023-04-24;6,0605;4,62;1,4405;4
2023;202305;2023-05;2023-05-29;5,4913;4,62;0,8712999999999997;5
2023;202306;2023-06;2023-06-26;4,9762;4,62;0,3562000000000003;4
2023;202307;2023-07;2023-07-31;4,8096;4,62;0,1895999999999995;5
2023;202308;2023-08;2023-08-28;4,9553;4,62;0,3353000000000001;4
2023;202309;2023-09;2023-09-25;4,86;4,62;0,2400000000000002;4
2023;202310;2023-10;2023-10-30;4,6004;4,62;-0,0196000000000005;5
2023;202311;2023-11;2023-11-27;4,5483;4,62;-0,0716999999999998;4
2023;202312;2023-12;2023-12-26;4,4547;4,62;-0,1653000000000002;4
