ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp;mes_calendario
2023;202301;2023-01;2023-01-30;0,8;3,2;2024-03-01;-2,4000000000000004;56;1
2023;202302;2023-02;2023-02-27;0,8979;3,2;2024-03-01;-2,3021000000000003;75;2
2023;202303;2023-03;2023-03-27;0,9947;3,2;2024-03-01;-2,2053000000000003;57;3
2023;202304;2023-04;2023-04-24;0,9977;3,2;2024-03-01;-2,2023;68;4
2023;202305;2023-05;2023-05-29;1,6;3,2;2024-03-01;-1,6;33;5
2023;202306;2023-06;2023-06-26;2,1874;3,2;2024-03-01;-1,0126000000000004;57;6
2023;202307;2023-07;2023-07-31;2,2109;3,2;2024-03-01;-0,9891;57;7
2023;202308;2023-08;2023-08-28;2,2935;3,2;2024-03-01;-0,9065000000000004;28;8
2023;202309;2023-09;2023-09-25;2,9541;3,2;2024-03-01;-0,2459000000000002;61;9
2023;202310;2023-10;2023-10-30;2,8419;3,2;2024-03-01;-0,3581000000000003;64;10
2023;202311;2023-11;2023-11-27;2,8123;3,2;2024-03-01;-0,3877000000000001;32;11
2023;202312;2023-12;2023-12-26;2,9334;3,2;2024-03-01;-0,2666000000000004;66;12
2024;202401;2024-01;2024-01-29;1,6142;3,4;2025-03-01;-1,7857999999999998;61;1
2024;202402;2024-02;2024-02-26;1,8;3,4;2025-03-01;-1,6;35;2
2024;202403;2024-03;2024-03-25;1,848;3,4;2025-03-01;-1,5519999999999998;54;3
2024;202404;2024-04;2024-04-29;2,0993;3,4;2025-03-01;-1,3007;27;4
2024;202405;2024-05;2024-05-27;2,007;3,4;2025-03-01;-1,3929999999999998;59;5
2024;202406;2024-06;2024-06-24;2,07;3,4;2025-03-01;-1,33;53;6
2024;202407;2024-07;2024-07-29;2,2;3,4;2025-03-01;-1,1999999999999995;51;7
2024;202408;2024-08;2024-08-26;2,4893;3,4;2025-03-01;-0,9106999999999998;67;8
2024;202409;2024-09;2024-09-30;3,0249;3,4;2025-03-01;-0,3750999999999997;37;9
2024;202410;2024-10;2024-10-28;3,0761;3,4;2025-03-01;-0,3239000000000001;26;10
2024;202411;2024-11;2024-11-25;3,2014;3,4;2025-03-01;-0,1985999999999999;81;11
2024;202412;2024-12;2024-12-30;3,5;3,4;2025-03-01;0,1;33;12
2025;202501;2025-01;2025-01-27;2,0656;2,3;2026-03-01;-0,2343999999999999;80;1
2025;202502;2025-02;2025-02-24;2,0;2,3;2026-03-01;-0,2999999999999998;68;2
2025;202503;2025-03;2025-03-31;1,9972;2,3;2026-03-01;-0,3027999999999997;37;3
2025;202504;2025-04;2025-04-28;1,995;2,3;2026-03-01;-0,3049999999999997;46;4
2025;202505;2025-05;2025-05-26;2,2;2,3;2026-03-01;-0,0999999999999996;64;5
2025;202506;2025-06;2025-06-30;2,2581;2,3;2026-03-01;-0,0418999999999996;38;6
2025;202507;2025-07;2025-07-28;2,2089;2,3;2026-03-01;-0,0910999999999999;51;7
2025;202508;2025-08;2025-08-25;2,1808;2,3;2026-03-01;-0,1191999999999997;70;8
2025;202509;2025-09;2025-09-29;2,1868;2,3;2026-03-01;-0,1131999999999999;41;9
2025;202510;2025-10;2025-10-27;2,1536;2,3;2026-03-01;-0,1463999999999998;73;10
2025;202511;2025-11;2025-11-24;2,145;2,3;2026-03-01;-0,1549999999999998;66;11
2025;202512;2025-12;2025-12-29;2,25;2,3;2026-03-01;-0,0499999999999998;25;12
2026;202601;2026-01;2026-01-26;1,8;;;;71;1
2026;202602;2026-02;2026-02-23;1,822;;;;83;2
2026;202603;2026-03;2026-03-30;1,9115;;;;35;3
2026;202604;2026-04;2026-04-27;1,8139;;;;61;4
2026;202605;2026-05;2026-05-25;1,8884;;;;81;5
