data_obs,mes,dbgg_sgs_pct_pib
2020-01-01,1,74.75
2020-02-01,2,75.15
2020-03-01,3,76.78
2020-04-01,4,78.03
2020-05-01,5,79.95
2020-06-01,6,82.87
2020-07-01,7,83.5
2020-08-01,8,85.83
2020-09-01,9,87.42
2020-10-01,10,87.66
2020-11-01,11,86.96
2020-12-01,12,86.94
