ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2020;202001;2020-01;2020-01-27;2,3;-3,3;2021-03-01;5,6;72
2020;202002;2020-02;2020-02-26;2,2;-3,3;2021-03-01;5,5;72
2020;202003;2020-03;2020-03-30;-0,84;-3,3;2021-03-01;2,46;82
2020;202004;2020-04;2020-04-27;-3,5;-3,3;2021-03-01;-0,20000000000000018;79
2020;202005;2020-05;2020-05-25;-6,05;-3,3;2021-03-01;-2,75;74
2020;202006;2020-06;2020-06-29;-6,59;-3,3;2021-03-01;-3,29;70
2020;202007;2020-07;2020-07-27;-5,76;-3,3;2021-03-01;-2,46;75
2020;202008;2020-08;2020-08-31;-5,2;-3,3;2021-03-01;-1,9000000000000004;73
2020;202009;2020-09;2020-09-28;-5,02;-3,3;2021-03-01;-1,7199999999999998;76
2020;202010;2020-10;2020-10-26;-4,82;-3,3;2021-03-01;-1,5200000000000005;81
2020;202011;2020-11;2020-11-30;-4,5;-3,3;2021-03-01;-1,2000000000000002;76
2020;202012;2020-12;2020-12-28;-4,35;-3,3;2021-03-01;-1,0499999999999998;69
