ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;n_edicoes_focus_boletim
2021;202101;2021-01;2021-01-25;3,61;10,06;-6,450000000000001;4
2021;202102;2021-02;2021-02-22;3,89;10,06;-6,17;4
2021;202103;2021-03;2021-03-29;4,92;10,06;-5,140000000000001;5
2021;202104;2021-04;2021-04-26;5,0392;10,06;-5,0208;4
2021;202105;2021-05;2021-05-31;5,5;10,06;-4,5600000000000005;5
2021;202106;2021-06;2021-06-28;6,0154;10,06;-4,044600000000001;4
2021;202107;2021-07;2021-07-26;6,7306;10,06;-3,3294000000000006;4
2021;202108;2021-08;2021-08-30;7,5136;10,06;-2,5464;5
2021;202109;2021-09;2021-09-27;8,5968;10,06;-1,4632000000000005;4
2021;202110;2021-10;2021-10-25;9,0996;10,06;-0,9604;4
2021;202111;2021-11;2021-11-29;10,1911;10,06;0,1311;5
2021;202112;2021-12;2021-12-27;9,9845;10,06;-0,0754999999999999;4
