ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;ipca_focus_ano_pct;ipca_ibge_acum_ano_dez_pct;ibge_ano_disponivel_aprox;erro_prev_menos_real_pp;ipca_focus_ano_nresp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2021;202101;2021-01;2021-01-25;3,61;10,06;2022-01-10;-6,450000000000001;46;3,75;2,25;5,25;-0,14000000000000012;0,14000000000000012
2021;202102;2021-02;2021-02-22;3,89;10,06;2022-01-10;-6,17;107;3,75;2,25;5,25;0,14000000000000012;0,14000000000000012
2021;202103;2021-03;2021-03-29;4,92;10,06;2022-01-10;-5,140000000000001;40;3,75;2,25;5,25;1,17;1,17
2021;202104;2021-04;2021-04-26;5,0392;10,06;2022-01-10;-5,0208;96;3,75;2,25;5,25;1,2892000000000001;1,2892000000000001
2021;202105;2021-05;2021-05-31;5,5;10,06;2022-01-10;-4,5600000000000005;57;3,75;2,25;5,25;1,75;1,75
2021;202106;2021-06;2021-06-28;6,0154;10,06;2022-01-10;-4,044600000000001;65;3,75;2,25;5,25;2,2653999999999996;2,2653999999999996
2021;202107;2021-07;2021-07-26;6,7306;10,06;2022-01-10;-3,3294000000000006;98;3,75;2,25;5,25;2,9806;2,9806
2021;202108;2021-08;2021-08-30;7,5136;10,06;2022-01-10;-2,5464;57;3,75;2,25;5,25;3,7636000000000003;3,7636000000000003
2021;202109;2021-09;2021-09-27;8,5968;10,06;2022-01-10;-1,4632000000000005;61;3,75;2,25;5,25;4,8468;4,8468
2021;202110;2021-10;2021-10-25;9,0996;10,06;2022-01-10;-0,9603999999999999;102;3,75;2,25;5,25;5,349600000000001;5,349600000000001
2021;202111;2021-11;2021-11-29;10,1911;10,06;2022-01-10;0,1311;43;3,75;2,25;5,25;6,4411000000000005;6,4411000000000005
2021;202112;2021-12;2021-12-27;9,9845;10,06;2022-01-10;-0,0754999999999999;62;3,75;2,25;5,25;6,234500000000001;6,234500000000001
