survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2019-04-01;2019;6,5;R8/2019;105;201904;6,5
2019-04-02;2019;6,5;R8/2019;105;201904;6,5
2019-04-03;2019;6,5;R8/2019;105;201904;6,5
2019-04-04;2019;6,5;R8/2019;105;201904;6,5
2019-04-05;2019;6,5;R8/2019;106;201904;6,5
2019-04-08;2019;6,5;R8/2019;105;201904;6,5
2019-04-09;2019;6,5;R8/2019;106;201904;6,5
2019-04-10;2019;6,5;R8/2019;107;201904;6,5
2019-04-11;2019;6,5;R8/2019;107;201904;6,5
2019-04-12;2019;6,5;R8/2019;106;201904;6,5
2019-04-15;2019;6,5;R8/2019;97;201904;6,5
2019-04-16;2019;6,5;R8/2019;101;201904;6,5
2019-04-17;2019;6,5;R8/2019;101;201904;6,5
2019-04-18;2019;6,5;R8/2019;104;201904;6,5
2019-04-22;2019;6,5;R8/2019;106;201904;6,5
2019-04-23;2019;6,5;R8/2019;108;201904;6,5
2019-04-24;2019;6,5;R8/2019;108;201904;6,5
2019-04-25;2019;6,5;R8/2019;109;201904;6,5
2019-04-26;2019;6,5;R8/2019;108;201904;6,5
2019-04-29;2019;6,5;R8/2019;103;201904;6,5
2019-04-30;2019;6,5;R8/2019;106;201904;6,5
2019-05-02;2019;6,5;R8/2019;108;201905;6,5
2019-05-03;2019;6,5;R8/2019;111;201905;6,5
2019-05-06;2019;6,5;R8/2019;111;201905;6,5
2019-05-07;2019;6,5;R8/2019;112;201905;6,5
2019-05-08;2019;6,5;R8/2019;113;201905;6,5
2019-05-09;2019;6,5;R8/2019;113;201905;6,5
2019-05-10;2019;6,5;R8/2019;113;201905;6,5
2019-05-13;2019;6,5;R8/2019;114;201905;6,5
2019-05-14;2019;6,5;R8/2019;115;201905;6,5
2019-05-15;2019;6,5;R8/2019;115;201905;6,5
2019-05-16;2019;6,5;R8/2019;115;201905;6,5
2019-05-17;2019;6,5;R8/2019;115;201905;6,5
2019-05-20;2019;6,5;R8/2019;115;201905;6,5
2019-05-21;2019;6,5;R8/2019;116;201905;6,5
2019-05-22;2019;6,5;R8/2019;116;201905;6,5
2019-05-23;2019;6,5;R8/2019;115;201905;6,5
2019-05-24;2019;6,5;R8/2019;115;201905;6,5
2019-05-27;2019;6,5;R8/2019;115;201905;6,5
2019-05-28;2019;6,5;R8/2019;115;201905;6,5
2019-05-29;2019;6,5;R8/2019;116;201905;6,5
2019-05-30;2019;6,5;R8/2019;115;201905;6,5
2019-05-31;2019;6,5;R8/2019;114;201905;6,5
2019-06-03;2019;6,5;R8/2019;106;201906;6,5
2019-06-04;2019;6,5;R8/2019;108;201906;6,5
2019-06-05;2019;6,5;R8/2019;110;201906;6,5
