variavel;coef;std_err;t_stat;p_value;conf_low;conf_high
const;-3,861009562137277;0,5226729611550988;-7,387046679446567;1,5012590560332603e-13;-4,885429741694173;-2,8365893825803807
dummy_lula;1,6902137169370974;0,2298136835307548;7,354713135307736;1,913375792391743e-13;1,2397871740623323;2,1406402598118626
dummy_pandemia;-2,341039927542494;0,21200773973416642;-11,04223803563913;2,39004801964244e-28;-2,756567461865201;-1,9255123932197862
vix;0,06567682908207188;0,01083052184390194;6,064050285725689;1,3273562459016006e-09;0,04444939633424974;0,08690426182989403
commodities;0,5756181460291502;0,02437006815427615;23,619882488024476;2,408194744839287e-123;0,5278536901459824;0,623382601912318
