survey_date;ipca_focus_ano_pct;ipca_year_ref;ipca_focus_ano_nresp;ipca_ibge_acum_ano_dez_pct;erro_prev_menos_real_pp;meta_centro;meta_inferior;meta_superior;desancoragem_centro;desancoragem_absoluta
2019-01-02;4,01;2019;31,0;;;4,25;2,75;5,75;-0,2400000000000002;0,2400000000000002
2019-01-03;4,01;2019;32,0;;;4,25;2,75;5,75;-0,2400000000000002;0,2400000000000002
2019-01-04;4,0;2019;27,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-07;4,0;2019;21,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-08;3,99;2019;29,0;;;4,25;2,75;5,75;-0,2599999999999998;0,2599999999999998
2019-01-09;3,99;2019;31,0;;;4,25;2,75;5,75;-0,2599999999999998;0,2599999999999998
2019-01-10;3,99;2019;37,0;;;4,25;2,75;5,75;-0,2599999999999998;0,2599999999999998
2019-01-11;4,02;2019;46,0;;;4,25;2,75;5,75;-0,23000000000000043;0,23000000000000043
2019-01-14;4,02;2019;55,0;;;4,25;2,75;5,75;-0,23000000000000043;0,23000000000000043
2019-01-15;4,03;2019;53,0;;;4,25;2,75;5,75;-0,21999999999999975;0,21999999999999975
2019-01-16;4,04;2019;56,0;;;4,25;2,75;5,75;-0,20999999999999996;0,20999999999999996
2019-01-17;4,04;2019;64,0;;;4,25;2,75;5,75;-0,20999999999999996;0,20999999999999996
2019-01-18;4,0;2019;93,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-21;4,0;2019;92,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-22;3,98;2019;87,0;;;4,25;2,75;5,75;-0,27;0,27
2019-01-23;3,98;2019;87,0;;;4,25;2,75;5,75;-0,27;0,27
2019-01-24;3,98;2019;79,0;;;4,25;2,75;5,75;-0,27;0,27
2019-01-25;3,99;2019;36,0;;;4,25;2,75;5,75;-0,2599999999999998;0,2599999999999998
2019-01-28;4,0;2019;33,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-29;4,0;2019;34,0;;;4,25;2,75;5,75;-0,25;0,25
2019-01-30;3,96;2019;36,0;;;4,25;2,75;5,75;-0,29000000000000004;0,29000000000000004
2019-01-31;3,94;2019;41,0;;;4,25;2,75;5,75;-0,31000000000000005;0,31000000000000005
2019-02-01;3,9;2019;92,0;;;4,25;2,75;5,75;-0,3500000000000001;0,3500000000000001
2019-02-04;3,89;2019;92,0;;;4,25;2,75;5,75;-0,3599999999999999;0,3599999999999999
2019-02-05;3,89;2019;86,0;;;4,25;2,75;5,75;-0,3599999999999999;0,3599999999999999
2019-02-06;3,89;2019;81,0;;;4,25;2,75;5,75;-0,3599999999999999;0,3599999999999999
2019-02-07;3,88;2019;75,0;;;4,25;2,75;5,75;-0,3700000000000001;0,3700000000000001
2019-02-08;3,87;2019;28,0;;;4,25;2,75;5,75;-0,3799999999999999;0,3799999999999999
2019-02-11;3,85;2019;34,0;;;4,25;2,75;5,75;-0,3999999999999999;0,3999999999999999
