ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2024;202411;2024-11;2024-11-04;3,1048;3,4;2025-03-01;-0,2951999999999999;66
2024;202412;2024-12;2024-12-02;3,2892;3,4;2025-03-01;-0,11079999999999979;42
2025;202501;2025-01;2025-01-06;2,0813;2,3;2026-03-01;-0,21869999999999967;25
2025;202502;2025-02;2025-02-03;2,0;2,3;2026-03-01;-0,2999999999999998;33
2025;202503;2025-03;2025-03-05;2,0114;2,3;2026-03-01;-0,28859999999999975;38
2025;202504;2025-04;2025-04-07;2,0208;2,3;2026-03-01;-0,2791999999999999;27
2025;202505;2025-05;2025-05-05;2,02;2,3;2026-03-01;-0,2799999999999998;64
2025;202506;2025-06;2025-06-02;2,2824;2,3;2026-03-01;-0,017599999999999838;39
2025;202507;2025-07;2025-07-07;2,2571;2,3;2026-03-01;-0,04289999999999994;30
2025;202508;2025-08;2025-08-04;2,215;2,3;2026-03-01;-0,08499999999999996;30
2025;202509;2025-09;2025-09-01;2,18;2,3;2026-03-01;-0,11999999999999966;30
2025;202510;2025-10;2025-10-06;2,1934;2,3;2026-03-01;-0,1065999999999998;32
2025;202511;2025-11;2025-11-03;2,1804;2,3;2026-03-01;-0,1195999999999997;53
2025;202512;2025-12;2025-12-01;2,14;2,3;2026-03-01;-0,1599999999999997;33
2026;202601;2026-01;2026-01-05;1,7679;;;;26
2026;202602;2026-02;2026-02-02;1,9;;;;31
2026;202603;2026-03;2026-03-02;1,8346;;;;30
2026;202604;2026-04;2026-04-06;1,85;;;;33
2026;202605;2026-05;2026-05-04;1,8;;;;30
2026;202606;2026-06;2026-06-01;1,9085;;;;30
