survey_date,tri_ref,ano_ref,pib_focus_trim_med_pct,numeroRespondentes
2018-09-17,4,2019,2.5,19
2018-09-18,1,2019,2.3,39
2018-09-18,2,2019,2.6,39
2018-09-18,3,2019,2.63,37
2018-09-18,4,2019,2.5,21
2018-09-19,1,2019,2.3,39
2018-09-19,2,2019,2.6,39
2018-09-19,3,2019,2.63,37
2018-09-19,4,2019,2.5,22
2018-09-20,1,2019,2.3,39
2018-09-20,2,2019,2.5,39
2018-09-20,3,2019,2.6,37
2018-09-20,4,2019,2.5,23
2018-09-21,1,2019,2.28,41
2018-09-21,2,2019,2.5,41
2018-09-21,3,2019,2.55,38
2018-09-21,4,2019,2.5,25
2018-09-24,1,2019,2.28,38
2018-09-24,2,2019,2.5,38
2018-09-24,3,2019,2.5,35
2018-09-24,4,2019,2.45,26
2018-09-25,1,2019,2.28,38
2018-09-25,2,2019,2.5,38
2018-09-25,3,2019,2.5,35
2018-09-25,4,2019,2.45,26
2018-09-26,1,2019,2.28,38
2018-09-26,2,2019,2.5,38
2018-09-26,3,2019,2.5,35
2018-09-26,4,2019,2.45,26
2018-09-27,1,2019,2.28,38
2018-09-27,2,2019,2.5,38
2018-09-27,3,2019,2.5,35
2018-09-27,4,2019,2.45,26
2018-09-28,1,2019,2.28,40
2018-09-28,2,2019,2.5,40
2018-09-28,3,2019,2.55,36
2018-09-28,4,2019,2.5,27
2018-10-01,1,2019,2.28,38
2018-10-01,2,2019,2.5,38
2018-10-01,3,2019,2.55,34
2018-10-01,4,2019,2.45,26
2018-10-02,1,2019,2.28,38
2018-10-02,2,2019,2.5,38
2018-10-02,3,2019,2.55,34
2018-10-02,4,2019,2.45,26
2018-10-03,1,2019,2.28,38
2018-10-03,2,2019,2.5,38
2018-10-03,3,2019,2.55,34
2018-10-03,4,2019,2.45,26
2018-10-04,1,2019,2.28,39
2018-10-04,2,2019,2.5,39
2018-10-04,3,2019,2.5,35
2018-10-04,4,2019,2.4,27
2018-10-05,1,2019,2.28,39
2018-10-05,2,2019,2.5,39
2018-10-05,3,2019,2.5,35
2018-10-05,4,2019,2.4,27
2018-10-08,1,2019,2.28,39
2018-10-08,2,2019,2.5,39
2018-10-08,3,2019,2.5,35
2018-10-08,4,2019,2.4,28
2018-10-09,1,2019,2.13,41
2018-10-09,2,2019,2.47,41
2018-10-09,3,2019,2.4,37
2018-10-09,4,2019,2.4,30
2018-10-10,1,2019,2.13,41
2018-10-10,2,2019,2.47,41
2018-10-10,3,2019,2.4,37
2018-10-10,4,2019,2.4,30
2018-10-11,1,2019,2.1,41
2018-10-11,2,2019,2.47,41
2018-10-11,3,2019,2.4,37
2018-10-11,4,2019,2.4,30
2018-10-15,1,2019,2.05,40
2018-10-15,2,2019,2.49,40
2018-10-15,3,2019,2.37,36
2018-10-15,4,2019,2.4,31
2018-10-16,1,2019,2.05,40
2018-10-16,2,2019,2.49,40
2018-10-16,3,2019,2.37,36
2018-10-16,4,2019,2.4,31
2018-10-17,1,2019,2.05,40
2018-10-17,2,2019,2.49,40
2018-10-17,3,2019,2.37,36
2018-10-17,4,2019,2.4,31
2018-10-18,1,2019,2.05,40
2018-10-18,2,2019,2.49,40
2018-10-18,3,2019,2.37,36
2018-10-18,4,2019,2.4,31
2018-10-19,1,2019,2.1,42
2018-10-19,2,2019,2.47,42
2018-10-19,3,2019,2.45,38
2018-10-19,4,2019,2.44,32
2018-10-22,1,2019,2.11,40
2018-10-22,2,2019,2.49,40
2018-10-22,3,2019,2.5,36
2018-10-22,4,2019,2.49,30
2018-10-23,1,2019,2.11,40
2018-10-23,2,2019,2.49,40
2018-10-23,3,2019,2.5,36
2018-10-23,4,2019,2.6,30
2018-10-24,1,2019,2.11,40
2018-10-24,2,2019,2.49,40
2018-10-24,3,2019,2.5,36
2018-10-24,4,2019,2.6,30
2018-10-25,1,2019,2.11,40
2018-10-25,2,2019,2.49,40
2018-10-25,3,2019,2.5,36
2018-10-25,4,2019,2.6,30
2018-10-26,1,2019,2.11,42
2018-10-26,2,2019,2.49,42
2018-10-26,3,2019,2.55,38
2018-10-26,4,2019,2.7,32
2018-10-29,1,2019,2.13,41
2018-10-29,2,2019,2.5,41
2018-10-29,3,2019,2.5,37
2018-10-29,4,2019,2.7,31
2018-10-30,1,2019,2.13,41
2018-10-30,2,2019,2.5,41
2018-10-30,3,2019,2.5,37
2018-10-30,4,2019,2.7,31
2018-10-31,1,2019,2.13,41
2018-10-31,2,2019,2.5,41
2018-10-31,3,2019,2.5,37
2018-10-31,4,2019,2.7,31
2018-11-01,1,2019,2.2,42
2018-11-01,2,2019,2.55,42
2018-11-01,3,2019,2.55,38
2018-11-01,4,2019,2.7,33
2018-11-05,1,2019,2.28,43
2018-11-05,2,2019,2.6,43
2018-11-05,3,2019,2.7,39
2018-11-05,4,2019,2.7,34
2018-11-06,1,2019,2.28,44
2018-11-06,2,2019,2.65,44
2018-11-06,3,2019,2.65,40
2018-11-06,4,2019,2.7,35
2018-11-07,1,2019,2.28,44
2018-11-07,2,2019,2.55,44
2018-11-07,3,2019,2.6,40
2018-11-07,4,2019,2.7,35
2018-11-08,1,2019,2.29,44
2018-11-08,2,2019,2.7,44
2018-11-08,3,2019,2.67,40
2018-11-08,4,2019,2.73,35
2018-11-09,1,2019,2.28,45
2018-11-09,2,2019,2.69,45
2018-11-09,3,2019,2.65,41
2018-11-09,4,2019,2.72,36
2018-11-12,1,2019,2.3,45
2018-11-12,2,2019,2.7,45
